payment_id,client_id,beneficiary_name,beneficiary_country,beneficiary_country_code,amount,currency,channel,payment_date
P50000,C2000,Redwood Services,UK,SG,12000.0,USD,Branch,2026-01-23
P50001,C2001,Desert Star LLC,UAE,AE,125000.0,USD,Branch,2026-05-11
P50002,C2002,Pacific Holdings,Hong Kong,AE,85000.0,USD,Branch,2026-04-27
P50003,C2003,Northstar Trading,Singapore,CH,45000.0,CHF,Branch,2026-04-11
P50004,C2003,Redwood Services,UK,CH,48000.0,CHF,RM-assisted,2026-01-26
P50005,C2003,Pacific Holdings,UAE,AE,47000.0,CHF,Online,2026-02-18
P50006,C2023,Pacific Holdings,Hong Kong,HK,24110.41,SGD,RM-assisted,2026-01-19
P50007,C2014,Redwood Services,UK,GB,5941.42,GBP,Online,2026-07-21
P50008,C2038,Northstar Trading,Singapore,SG,1976.36,HKD,Branch,2026-05-02
P50009,C2002,Redwood Services,UK,GB,167436.16,HKD,Online,2026-06-12
P50010,C2016,Redwood Services,UK,GB,13433.87,USD,Branch,2026-06-06
P50011,C2016,Desert Star LLC,UAE,AE,8190.77,HKD,Online,2026-06-16
P50012,C2008,Desert Star LLC,UAE,AE,17561.38,GBP,RM-assisted,2026-06-18
P50013,C2032,Alpine Consulting,Switzerland,CH,23886.8,HKD,Online,2026-05-06
P50014,C2006,Pacific Holdings,Hong Kong,HK,17778.48,SGD,Branch,2026-01-25
P50015,C2017,Northstar Trading,Singapore,SG,261719.84,CHF,RM-assisted,2026-07-20
P50016,C2022,Redwood Services,UK,GB,50850.97,SGD,Online,2026-02-21
P50017,C2045,Northstar Trading,Singapore,SG,10082.3,CHF,Online,2026-06-01
P50018,C2025,Redwood Services,UK,GB,24753.05,SGD,Branch,2026-05-04
P50019,C2004,Alpine Consulting,Switzerland,CH,49198.14,GBP,Online,2026-01-25
P50020,C2004,Redwood Services,UK,GB,12433.58,SGD,RM-assisted,2026-04-27
P50021,C2043,Redwood Services,UK,GB,11602.88,HKD,Online,2026-07-25
P50022,C2000,Alpine Consulting,Switzerland,CH,48585.48,SGD,Branch,2026-06-23
P50023,C2039,Alpine Consulting,Switzerland,CH,6037.04,GBP,RM-assisted,2026-01-08
P50024,C2032,Pacific Holdings,Hong Kong,HK,46275.54,SGD,RM-assisted,2026-01-23
